Club,City
Brighton & Hove Albion,Brighton and Hove
West Ham United,London
Burnley,East Lancashire
Arsenal,London
Manchester United,Manchester
Everton,Liverpool
Southampton,Southampton
Leeds United,Leeds
Watford,watford
Norwich City,Norwich and East Norfolk
Wolverhampton Wanderers,Wolverhampton
Leicester City,Leicester
Liverpool,Liverpool
Tottenham Hotspur,London
Newcastle United,Newcastle
Brentford,London
Chelsea,London
Aston Villa,Birmingham
Manchester City,Manchester
Crystal Palace,London
AFC Bournemouth,Bournemouth and Poole
Fulham,London
Nottingham Forest,Nottingham
Sheffield United,Sheffield
Luton Town,Luton
Bordeaux,Bordeaux
PSG,Paris
Angers SCO,Angers
Nantes,Nantes
Troyes,Troyes
Strasbourg,Strasbourg
Clermont,Clermont-Ferrand
Lille,Lille
Saint-Étienne,Saint-Étienne
Lorient,Lorient
Lens,Lens
Rennes,Rennes
Monaco,Monaco
Metz,Metz
Nice,Nice
Reims,Reims
Olympique Marseille,Marseille
Montpellier,Montpellier
Olympique Lyonnais,Lyon
Brest,Brest
Toulouse,Toulouse
Auxerre,Auxerre
Ajaccio,Ajaccio
Le Havre,Le Havre
Mainz 05,Mainz
Greuther Fürth,Fürth
Wolfsburg,Wolfsburg
Eintracht Frankfurt,Frankfurt am Main
Borussia M'gladbach,Mönchengladbach
Arminia Bielefeld,Bielefeld
Hertha BSC,Berlin
Stuttgart,Stuttgart
Augsburg,Augsburg
Bayern München,München
RB Leipzig,Leipzig
Bayer Leverkusen,Leverkusen
Union Berlin,Berlin
Hoffenheim,Sinsheim
Bochum,Bochum
Köln,Cologne
Borussia Dortmund,Dortmund
Freiburg,Freiburg
Schalke 04,Gelsenkirchen
Werder Bremen,Bremen
Darmstadt 98,Darmstadt
Heidenheim,Heidenheim
Bologna,Bologna
Juventus,Torino
Sampdoria,Genova
Sassuolo,Sassuolo
Genoa,Genova
Lazio,Roma
Cagliari,Cagliari
Napoli,Napoli
Hellas Verona,Verona
Spezia,La Spezia
Roma,Roma
Atalanta,Bergamo
Empoli,Empoli
Torino,Torino
Fiorentina,Firenze
Inter Milan,Milano
Venezia,Venise
AC Milan,Milano
Salernitana,Salerno
Udinese,Udine
Cremonese,Cremona
Monza,Monza
Lecce,Lecce
Frosinone,Frosinone
Granada CF,Granada
Deportivo Alavés,Vitoria-Gasteiz
RCD Mallorca,Palma de Mallorca
FC Barcelona,Barcelona
Real Sociedad,Saint-Sébastien
RCD Espanyol,Barcelona
Villarreal,Villarreal/Vila-real
Rayo Vallecano,Madrid
Levante UD,Valencia
Athletic Club Bilbao,Bilbao
Real Betis,Sevilla
Sevilla FC,Sevilla
Atlético Madrid,Madrid
Cádiz,Cádiz
Valencia CF,Valencia
Celta de Vigo,Vigo
Getafe CF,Getafe
Real Madrid,Madrid
CA Osasuna,Pamplona/Iruña
Elche CF,Elche/Elx
Almería,Almería
Girona FC,Girona
Real Valladolid,Valladolid
UD Las Palmas,Las Palmas
