Club,City,Country
Brighton & Hove Albion,Brighton and Hove,UK
West Ham United,London,UK
Burnley,East Lancashire,UK
Arsenal,London,UK
Manchester United,Manchester,UK
Everton,Liverpool,UK
Southampton,Southampton,UK
Leeds United,Leeds,UK
Watford,London,UK
Norwich City,Norwich and East Norfolk,UK
Wolverhampton Wanderers,Wolverhampton,UK
Leicester City,Leicester,UK
Liverpool,Liverpool,UK
Tottenham Hotspur,London,UK
Newcastle United,Newcastle,UK
Brentford,London,UK
Chelsea,London,UK
Aston Villa,Birmingham,UK
Manchester City,Manchester,UK
Crystal Palace,London,UK
AFC Bournemouth,Bournemouth and Poole,UK
Fulham,London,UK
Nottingham Forest,Nottingham,UK
Sheffield United,Sheffield,UK
Luton Town,Luton,UK
Bordeaux,Bordeaux,FR
PSG,Paris,FR
Angers SCO,Angers,FR
Nantes,Nantes,FR
Troyes,Troyes,FR
Strasbourg,Strasbourg,FR
Clermont,Clermont-Ferrand,FR
Lille,Lille,FR
Saint-Étienne,Saint-Étienne,FR
Lorient,Lorient,FR
Lens,Lens,FR
Rennes,Rennes,FR
Monaco,Monaco,MC
Metz,Metz,FR
Nice,Nice,FR
Reims,Reims,FR
Olympique Marseille,Marseille,FR
Montpellier,Montpellier,FR
Olympique Lyonnais,Lyon,FR
Brest,Brest,FR
Toulouse,Toulouse,FR
Auxerre,Auxerre,FR
Ajaccio,Ajaccio,FR
Le Havre,Le Havre,FR
Mainz 05,Mainz,DE
Greuther Fürth,Fürth,DE
Wolfsburg,Wolfsburg,DE
Eintracht Frankfurt,Frankfurt am Main,DE
Borussia M'gladbach,Mönchengladbach,DE
Arminia Bielefeld,Bielefeld,DE
Hertha BSC,Berlin,DE
Stuttgart,Stuttgart,DE
Augsburg,Augsburg,DE
Bayern München,München,DE
RB Leipzig,Leipzig,DE
Bayer Leverkusen,Leverkusen,DE
Union Berlin,Berlin,DE
Hoffenheim,Sinsheim,DE
Bochum,Bochum,DE
Köln,Cologne,DE
Borussia Dortmund,Dortmund,DE
Freiburg,Freiburg,DE
Schalke 04,Gelsenkirchen,DE
Werder Bremen,Bremen,DE
Darmstadt 98,Darmstadt,DE
Heidenheim,Heidenheim,DE
Bologna,Bologna,IT
Juventus,Torino,IT
Sampdoria,Genova,IT
Sassuolo,Sassuolo,IT
Genoa,Genova,IT
Lazio,Roma,IT
Cagliari,Cagliari,IT
Napoli,Napoli,IT
Hellas Verona,Verona,IT
Spezia,La Spezia,IT
Roma,Roma,IT
Atalanta,Bergamo,IT
Empoli,Empoli,IT
Torino,Torino,IT
Fiorentina,Firenze,IT
Inter Milan,Milano,IT
Venezia,Venise,IT
AC Milan,Milano,IT
Salernitana,Salerno,IT
Udinese,Udine,IT
Cremonese,Cremona,IT
Monza,Monza,IT
Lecce,Lecce,IT
Frosinone,Frosinone,IT
Granada CF,Granada,ES
Deportivo Alavés,Vitoria-Gasteiz,ES
RCD Mallorca,Palma de Mallorca,ES
FC Barcelona,Barcelona,ES
Real Sociedad,Saint-Sébastien,ES
RCD Espanyol,Barcelona,ES
Villarreal,Villarreal/Vila-real,ES
Rayo Vallecano,Madrid,ES
Levante UD,Valencia,ES
Athletic Club Bilbao,Bilbao,ES
Real Betis,Sevilla,ES
Sevilla FC,Sevilla,ES
Atlético Madrid,Madrid,ES
Cádiz,Cádiz,ES
Valencia CF,Valencia,ES
Celta de Vigo,Vigo,ES
Getafe CF,Getafe,ES
Real Madrid,Madrid,ES
CA Osasuna,Pamplona/Iruña,ES
Elche CF,Elche/Elx,ES
Almería,Almería,ES
Girona FC,Girona,ES
Real Valladolid,Valladolid,ES
UD Las Palmas,Las Palmas,ES
